amongus2: .word 16, 16
.byte 199,199,199,199,199,199,199,199,199,199,199,199,199,199,199,199,
199,199,199,199,199,199,199,199,199,199,199,199,199,199,199,199,
199,199,199,199,199,0,0,0,0,0,0,199,199,199,199,199,
199,199,199,199,0,68,6,6,6,6,68,0,199,199,199,199,
199,9,9,0,68,5,68,1,1,1,1,0,0,199,199,199,
0,68,6,0,68,6,72,153,153,244,244,255,255,0,199,199,
0,5,5,0,68,6,73,153,153,153,153,153,153,0,199,199,
0,68,68,0,68,6,68,1,1,1,1,1,0,199,199,199,
0,68,68,0,68,6,6,6,6,6,6,6,0,199,199,199,
0,68,68,0,68,6,6,6,6,6,6,6,0,199,199,199,
0,68,68,0,68,6,6,6,6,6,6,6,0,199,199,199,
0,68,68,0,68,68,6,6,6,6,68,68,0,199,199,199,
199,0,0,0,0,68,68,68,68,68,0,0,199,199,199,199,
199,199,199,199,199,0,68,68,68,1,68,0,199,199,199,199,
199,199,199,199,199,0,68,68,68,1,1,199,199,199,199,199,
199,199,199,199,199,199,0,0,0,0,199,199,199,199,199,199,


